"id" "age" "sexe" "qi" "sse" "qdv"
"1" 1 26 "M" 126 "B" 72
"2" 2 31 "F" 123 "A" 73
"3" 3 28 "M" 114 "B" 72
"4" 4 28 "M" 125 "B" 72
"5" 5 29 "F" 134 "A" 76
"6" 6 33 "F" 141 "B" 74
"7" 7 32 "F" 123 "B" 72
"8" 8 21 "M" 114 "A" 71
"9" 9 36 "M" 122 "C" 71
"10" 10 30 "M" 127 "A" 66
"11" 11 31 "F" 121 "A" 67
"12" 12 31 "F" 123 "C" 70
"13" 13 30 "F" 116 "B" 72
"14" 14 35 "M" 136 "B" 69
"15" 15 30 "M" 136 "A" 68
"16" 16 26 "M" 132 "A" 70
"17" 17 27 "M" 117 "C" 72
"18" 18 30 "M" 118 "A" 73
"19" 19 26 "F" 122 "C" 68
"20" 20 29 "M" 118 "A" 69
"21" 21 29 "F" 125 "A" 70
"22" 22 29 "M" 130 "B" 71
"23" 23 28 "M" 124 "C" 72
"24" 24 24 "F" 135 "C" 70
"25" 25 23 "M" 127 "A" 67
"26" 26 25 "M" 118 "A" 73
"27" 27 30 "F" 127 "B" 70
"28" 28 21 "F" 126 "B" 68
"29" 29 26 "M" 127 "B" 74
"30" 30 28 "F" 124 "B" 74
"31" 31 27 "M" 136 "B" 77
"32" 32 27 "M" 130 "C" 70
"33" 33 32 "F" 125 "A" 69
"34" 34 27 "M" 125 "C" 68
"35" 35 26 "F" 135 "B" 71
"36" 36 30 "M" 127 "B" 68
"37" 37 27 "F" 117 "B" 71
"38" 38 27 "M" 114 "C" 71
"39" 39 26 "F" 124 "A" 71
"40" 40 24 "M" 122 "A" 70
"41" 41 27 "M" 124 "A" 64
"42" 42 27 "F" 120 "B" 68
"43" 43 28 "M" 135 "B" 69
"44" 44 22 "M" 125 "A" 64
"45" 45 25 "F" 120 "A" 68
"46" 46 30 "F" 131 "C" 77
"47" 47 31 "F" 117 "B" 69
"48" 48 26 "F" 130 "A" 70
"49" 49 29 "F" 121 "B" 69
"50" 50 25 "M" 119 "C" 69
"51" 51 32 "M" 141 "A" 65
"52" 52 28 "M" 116 "B" 66
"53" 53 30 "M" 133 "A" NA
"54" 54 24 "M" 121 "B" 72
"55" 55 31 "F" 130 "B" 69
"56" 56 21 "M" 121 "C" 69
"57" 57 24 "F" 141 "B" 70
"58" 58 34 "F" 125 "B" 68
"59" 59 30 "F" 112 "A" 71
"60" 60 26 "M" 111 "B" 75
"61" 61 25 "M" 112 "A" 73
"62" 62 27 "M" 140 "B" 71
"63" 63 30 "F" 122 "C" 72
"64" 64 29 "M" 125 "A" 69
"65" 65 30 "M" 119 "A" 71
"66" 66 27 "M" 137 "A" 72
"67" 67 25 "F" 126 "C" 75
"68" 68 24 "T" 131 "A" 73
"69" 69 28 "M" 129 "B" NA
"70" 70 31 "M" 131 "C" 71
"71" 71 25 "F" 116 "C" 65
"72" 72 31 "M" 137 "A" 71
"73" 73 23 "M" 131 "C" 70
"74" 74 29 "M" 131 "B" 72
"75" 75 27 "M" 121 "C" 66
"76" 76 28 "M" 117 "C" 72
"77" 77 29 "M" 128 "C" 74
"78" 78 27 "F" 118 "B" 67
"79" 79 26 "M" 135 "A" 69
"80" 80 27 "F" 124 "B" 69
"81" 81 27 "F" 128 "B" 66
"82" 82 22 "F" 118 "C" 74
"83" 83 26 "M" 137 "A" 68
"84" 84 23 "M" 126 "A" 69
"85" 85 22 "M" 113 "A" 72
"86" 86 27 "M" 121 "A" 64
"87" 87 26 "F" 129 "B" 67
"88" 88 30 "F" 130 "A" 69
"89" 89 37 "F" 129 "B" 67
"90" 90 26 "F" 125 "C" 65
"91" 91 23 "M" 114 "C" 74
"92" 92 22 "M" 114 "C" 71
"93" 93 27 "M" 125 "C" 74
"94" 94 29 "M" 123 "C" 72
"95" 95 28 "M" 139 "B" 69
"96" 96 30 "M" 122 "B" 69
"97" 97 24 "M" 129 "C" NA
"98" 98 28 "F" 126 "C" 72
"99" 99 35 "F" 117 "C" 71
"100" 100 29 "F" 126 "A" 68
